node_id,lat,lon
169,8023186.372,1116563.277
170,8022798.826,1116292.393
171,8021104.295,1113419.554
172,8021149.328,1113467.455
173,8021763.074,1114172.265
174,8019857.244,1117105.639
175,8019910.124,1116689.509
176,8022678.128,1113850.824
177,8022683.902,1113875.526
178,8022749.956,1113796.887
179,8022706.401,1113762.28
180,8024021.043,1113807.867
181,8023394.201,1113769.518
182,8019846.337,1117192.208
183,8019770.733,1117180.211
184,8019791.116,1117504.037
185,8019891.176,1117887.416
186,8020960.244,1117358.221
187,8020948.146,1116994.497
188,8023049.661,1115121.056
189,8022980.588,1115140.156
190,8024028.696,1115124.454
191,8024048.745,1115124.138
192,8024047.731,1115092.625
193,8024057.125,1114943.497
194,8024870.699,1115232.038
195,8024360.186,1115149.615
196,8024871.435,1115268.573
197,8024896.966,1115279.731
198,8022829.926,1119187.812
199,8022840.921,1119604.118
200,8024021.724,1113848.403
201,8026204.418,1115085.124
202,8022350.276,1120920.027
203,8022403.757,1120934.317
204,8022288.974,1121169.2
